Object,Count,object.corrected,check.again,viewed.image,checker,comments,
processed wooden plank,3,wood slat,0,1,KC,,
processed wooden slat,3,NA,NA,NA,NA,,
purple blanket,3,blanket,0,0,KC,,
rake,3,rake,0,0,KC,,
rebar,3,rebar,0,0,KC,,
red folder,3,folder,0,1,KC,,
red rope,3,rope,0,1,KC,,
screw,3,screw,0,1,KC,,
stems,3,NA,NA,NA,NA,,
stuffed dog,3,stuffed animal,0,0,KC,,
styrofoam,3,styrofoam,0,0,KC,,
table leg,3,table,0,1,KC,,
toy trailer,3,toy car,0,0,Kc,,
trash can,3,trash bin,0,NA,KC,,
trashcan,3,trash bin,0,NA,KC,,
underwear,3,underwear,0,0,KC,,
white bottle (unlabeled),3,plastic bottle,0,1,KC,,
woven object,3,NA,0,1,KC,added to corrections.csv,
baby sling,4,baby sling,0,0,KC,,
beads,4,beads,0,1,KC,,
blue strainer,4,strainer,0,0,KC,,
bottle of coke,4,soda,0,1,KC,,
bracelet,4,bracelet,0,0,KC,,
cacao fruit,4,cacao,0,0,KC,,
curtains,4,curtains,0,1,KC,fixed one immovable object,
dried bean pod,4,bean,0,0,KC,,
grey bowl,4,bowl,0,0,KC,,
measuring tape,4,measuring tape,0,0,KC,,
metal bin,4,trash bin,0,1,KC,,
palm leaves,4,NA,0,1,KC,added to corrections.csv,
plastic,4,NA,NA,NA,NA,,
plastic lid,4,container lid,0,0,KC,,
plastic soda bottle,4,empty drink bottle,0,1,KC,,
red leaf,4,leaf,0,1,KC,,
red water bottle,4,reusable water bottle,0,1,KC,,
sharpened wooden stick,4,stick,0,1,KC,,
stuffed holiday animal,4,stuffed holiday animal,0,0,KC,,
tootpaste tube,4,toothpaste,0,0,KC,,
waterbottle strap,4,water bottle carrier,0,0,KC,,
wheelbarrow,4,wheelbarrow,0,0,KC,,
white mug,4,cup,0,0,KC,,
wood fragment,4,NA,NA,NA,NA,,
wooden block,4,wood slat,0,1,KC,,
wooden stake,4,NA,0,1,KC,added to corrections.csv,
wooden table,4,table,0,0,KC,,
yellow truck,4,toy car,0,0,KC,,
bark strips,5,bark,0,1,KC,,
bottle caps,5,bottle cap,0,0,KC,,
bottoms,5,pants,0,0,KC,,
